Date,fatigue,mood,readiness,sleep_duration_h,sleep_quality,soreness,stress,steps,calories,lightly_active_minutes,moderately_active_minutes,very_active_minutes,resting_heart_rate,overall_score,deep_sleep_in_minutes,restlessness,sleep_3d_avg,sleep_7d_avg,sleep_score_yesterday,steps_yesterday,steps_3d_avg,fatigue_yesterday,fatigue_3d_avg,stress_yesterday,mood_class
2019-11-16,3.0,3.0,4.0,8.0,3.0,3.0,3.0,16118.0,2795.48,268,117,13,0.0,84.0,100.0,0.1298366294067068,84.0,84.0,0.0,0.0,16118.0,0.0,3.0,0.0,Neutral
2019-11-17,3.0,3.0,5.0,7.0,4.0,3.0,2.0,7542.0,2276.23,266,15,11,0.0,80.0,63.0,0.1210067763794772,82.0,82.0,84.0,16118.0,11830.0,3.0,3.0,3.0,Neutral
2019-11-18,2.0,2.0,2.0,6.0,2.0,3.0,2.0,9480.0,2497.05,322,7,10,0.0,78.0,44.0,0.0752565564424173,80.66666666666667,80.66666666666667,80.0,7542.0,11046.666666666666,3.0,2.6666666666666665,2.0,Low
2019-11-19,3.0,3.0,5.0,8.0,3.0,3.0,2.0,11716.0,2542.46,284,13,21,0.0,79.0,87.0,0.103030303030303,79.0,80.25,78.0,9480.0,9579.333333333334,2.0,2.6666666666666665,2.0,Neutral
2019-11-20,2.0,3.0,5.0,5.0,2.0,2.0,1.0,14211.0,2745.7400000000002,424,5,3,0.0,62.0,51.0,0.0827679782903663,73.0,76.6,79.0,11716.0,11802.333333333334,3.0,2.3333333333333335,2.0,Neutral
2019-11-21,4.0,4.0,5.0,8.0,4.0,2.0,3.0,10384.0,2360.94,287,5,2,0.0,86.0,93.0,0.1042611060743427,75.66666666666667,78.16666666666667,62.0,14211.0,12103.666666666666,2.0,3.0,1.0,Neutral
2019-11-22,1.0,2.0,3.0,6.0,2.0,2.0,2.0,12639.0,2450.07,215,22,36,0.0,74.0,76.0,0.0980834272829763,74.0,77.57142857142857,86.0,10384.0,12411.333333333334,4.0,2.3333333333333335,3.0,Low
2019-11-23,4.0,4.0,8.0,9.0,4.0,3.0,3.0,15956.0,2979.12,273,62,62,0.0,75.0,94.0,0.0756123535676251,78.33333333333333,76.28571428571429,74.0,12639.0,12993.0,1.0,3.0,2.0,Neutral
2019-11-24,3.0,3.0,5.0,9.0,3.0,2.0,3.0,9351.0,2297.17,266,15,13,0.0,86.0,99.0,0.1005586592178771,78.33333333333333,77.14285714285714,75.0,15956.0,12648.666666666666,4.0,2.6666666666666665,3.0,Neutral
2019-11-25,1.0,3.0,2.0,6.0,1.0,3.0,1.0,8378.0,2283.29,273,9,6,0.0,66.0,36.0,0.1100811123986095,75.66666666666667,75.42857142857143,86.0,9351.0,11228.333333333334,3.0,2.6666666666666665,3.0,Neutral
2019-11-26,3.0,3.0,5.0,7.0,4.0,3.0,2.0,14863.0,2788.03,419,4,9,0.0,79.0,72.0,0.1077441077441077,77.0,75.42857142857143,66.0,8378.0,10864.0,1.0,2.3333333333333335,1.0,Neutral
2019-11-27,2.0,3.0,3.0,7.0,4.0,3.0,3.0,2150.0,1778.71,124,0,0,0.0,80.0,100.0,0.1254019292604501,75.0,78.0,79.0,14863.0,8463.666666666666,3.0,2.0,2.0,Neutral
2019-11-28,1.0,3.0,3.0,7.0,4.0,2.0,3.0,12326.0,2501.43,292,34,14,0.0,77.0,50.0,0.1094257854821235,78.66666666666667,76.71428571428571,80.0,2150.0,9779.666666666666,2.0,2.0,3.0,Neutral
2019-11-30,2.0,2.0,1.0,10.0,2.0,3.0,2.0,644.0,1803.45,78,0,0,0.0,70.0,112.0,0.1597904387688277,75.66666666666667,76.14285714285714,77.0,12326.0,5040.0,1.0,1.6666666666666667,3.0,Low
2019-12-01,2.0,3.0,3.0,9.0,2.0,3.0,3.0,8346.0,2275.23,291,6,6,0.0,70.0,112.0,0.1597904387688277,72.33333333333333,75.42857142857143,70.0,644.0,7105.333333333333,2.0,1.6666666666666667,2.0,Neutral
2019-12-02,1.0,3.0,2.0,7.0,2.0,3.0,2.0,12684.0,2543.05,377,6,7,0.0,83.0,29.0,0.1054247697031729,74.33333333333333,75.0,70.0,8346.0,7224.666666666667,2.0,1.6666666666666667,3.0,Neutral
2019-12-03,3.0,4.0,5.0,7.0,3.0,4.0,3.0,10057.0,2388.82,250,2,17,0.0,80.0,48.0,0.0936794582392776,77.66666666666667,77.0,83.0,12684.0,10362.333333333334,1.0,2.0,2.0,Neutral
2019-12-04,2.0,3.0,5.0,6.0,2.0,2.0,2.0,10880.0,2442.87,208,21,45,0.0,75.0,32.0,0.1099290780141844,79.33333333333333,76.42857142857143,80.0,10057.0,11207.0,3.0,2.0,3.0,Neutral
2019-12-05,1.0,3.0,5.0,8.0,3.0,2.0,2.0,12663.0,2590.71,276,29,28,0.0,83.0,112.0,0.0948509485094851,79.33333333333333,76.85714285714286,75.0,10880.0,11200.0,2.0,2.0,2.0,Neutral
2019-12-06,1.0,2.0,2.0,6.0,1.0,3.0,2.0,13972.0,2804.97,363,38,23,0.0,71.0,55.0,0.1571871768355739,76.33333333333333,76.0,83.0,12663.0,12505.0,1.0,1.3333333333333333,2.0,Low
2019-12-07,3.0,3.0,3.0,10.0,4.0,3.0,3.0,17145.0,2764.46,366,33,11,0.0,86.0,112.0,0.118582791033984,80.0,78.28571428571429,71.0,13972.0,14593.333333333334,1.0,1.6666666666666667,2.0,Neutral
2019-12-08,2.0,4.0,5.0,7.0,4.0,3.0,4.0,20193.0,3136.38,343,48,68,0.0,82.0,63.0,0.1009803921568627,79.66666666666667,80.0,86.0,17145.0,17103.333333333332,3.0,2.0,3.0,Neutral
2019-12-09,2.0,3.0,5.0,6.0,3.0,3.0,3.0,9881.0,2300.72,274,2,10,0.0,75.0,50.0,0.123020706455542,81.0,78.85714285714286,82.0,20193.0,15739.666666666666,2.0,2.3333333333333335,4.0,Neutral
2019-12-10,2.0,3.0,3.0,8.0,2.0,2.0,2.0,14911.0,2788.48,258,33,50,0.0,83.0,91.0,0.0966824644549763,80.0,79.28571428571429,75.0,9881.0,14995.0,2.0,2.0,3.0,Neutral
2019-12-11,2.0,3.0,2.0,7.0,2.0,2.0,3.0,6734.0,2021.18,197,6,4,0.0,82.0,63.0,0.0945802337938363,80.0,80.28571428571429,83.0,14911.0,10508.666666666666,2.0,2.0,2.0,Neutral
2019-12-12,2.0,4.0,3.0,7.0,4.0,3.0,4.0,8419.0,2196.67,223,26,8,0.0,84.0,64.0,0.0875621890547263,83.0,80.42857142857143,82.0,6734.0,10021.333333333334,2.0,2.0,3.0,Neutral
2019-12-13,1.0,3.0,2.0,8.0,1.0,3.0,3.0,21336.0,2879.69,323,70,31,0.0,82.0,94.0,0.1056466302367941,82.66666666666667,82.0,84.0,8419.0,12163.0,2.0,1.6666666666666667,4.0,Neutral
2019-12-14,1.0,2.0,0.0,8.0,2.0,2.0,3.0,18638.0,2941.44,295,91,36,0.0,73.0,75.0,0.1137724550898203,79.66666666666667,80.14285714285714,82.0,21336.0,16131.0,1.0,1.3333333333333333,3.0,Low
2019-12-15,1.0,3.0,0.0,8.0,2.0,2.0,3.0,8988.0,2374.29,273,20,3,0.0,75.0,68.0,0.0976525821596244,76.66666666666667,79.14285714285714,73.0,18638.0,16320.666666666666,1.0,1.0,3.0,Neutral
2019-12-16,1.0,3.0,0.0,10.0,2.0,2.0,3.0,3440.0,1850.95,153,0,0,0.0,73.0,41.0,0.1416337285902503,73.66666666666667,78.85714285714286,75.0,8988.0,10355.333333333334,1.0,1.0,3.0,Neutral
2019-12-17,2.0,3.0,2.0,8.0,3.0,3.0,3.0,6784.0,2117.7000000000003,216,12,15,0.0,80.0,72.0,0.1008563273073263,76.0,78.42857142857143,73.0,3440.0,6404.0,1.0,1.3333333333333333,3.0,Neutral
2019-12-18,2.0,3.0,3.0,7.0,4.0,3.0,3.0,7009.0,2160.29,264,8,2,0.0,84.0,47.0,0.0797872340425532,79.0,78.71428571428571,80.0,6784.0,5744.333333333333,2.0,1.6666666666666667,3.0,Neutral
2019-12-19,2.0,3.0,3.0,7.0,2.0,2.0,2.0,11392.0,2353.56,277,16,8,0.0,80.0,83.0,0.1256384065372829,81.33333333333333,78.14285714285714,84.0,7009.0,8395.0,2.0,2.0,3.0,Neutral
2019-12-20,2.0,3.0,3.0,8.0,2.0,3.0,3.0,11941.0,2386.7400000000002,304,12,8,0.0,80.0,89.0,0.0962099125364431,81.33333333333333,77.85714285714286,80.0,11392.0,10114.0,2.0,2.0,2.0,Neutral
2019-12-21,2.0,2.0,3.0,7.0,2.0,3.0,2.0,15700.0,2915.48,475,36,1,0.0,80.0,56.0,0.1217887725975261,80.0,78.85714285714286,80.0,11941.0,13011.0,2.0,2.0,3.0,Low
2019-12-22,2.0,3.0,4.0,8.0,2.0,3.0,3.0,12972.0,2521.75,337,8,20,0.0,77.0,66.0,0.0952380952380952,79.0,79.14285714285714,80.0,15700.0,13537.666666666666,2.0,2.0,2.0,Neutral
2019-12-23,2.0,3.0,3.0,8.0,2.0,3.0,3.0,16109.0,2997.13,471,31,26,0.0,77.0,66.0,0.0952380952380952,78.0,79.71428571428571,77.0,12972.0,14927.0,2.0,2.0,3.0,Neutral
2019-12-25,3.0,3.0,4.0,9.0,3.0,3.0,3.0,2367.0,1872.64,139,0,0,0.0,77.0,66.0,0.0952380952380952,77.0,79.28571428571429,77.0,16109.0,10482.666666666666,2.0,2.3333333333333335,3.0,Neutral
2019-12-26,3.0,4.0,5.0,10.0,2.0,3.0,3.0,4915.0,2152.79,231,10,2,0.0,77.0,66.0,0.0952380952380952,77.0,78.28571428571429,77.0,2367.0,7797.0,3.0,2.6666666666666665,3.0,Neutral
2019-12-27,2.0,3.0,3.0,7.0,2.0,3.0,3.0,9438.0,2393.03,337,0,0,0.0,72.0,24.0,0.1431209602954755,75.33333333333333,77.14285714285714,77.0,4915.0,5573.333333333333,3.0,2.6666666666666665,3.0,Neutral
2019-12-28,2.0,3.0,4.0,7.0,2.0,3.0,3.0,14184.0,2811.81,361,48,21,0.0,76.0,82.0,0.1273408239700374,75.0,76.57142857142857,72.0,9438.0,9512.333333333334,2.0,2.3333333333333335,3.0,Neutral
